route,system,system_label,tag,map_type,roi_folder,component_id,n_voxels,centroid_i,centroid_j,centroid_k,original_voxels_in_system_map,exclusive_voxels_after_overlap_removal,overlap_voxels_removed_before_assignment,source_nifti
A,common_appraisal,共同评价系统,AHAB,after_cluster,r001_ac_ahab,1,16872,46.74,69.22,52.47,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r002_ac_ahab,2,1903,62.17,28.53,51.93,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r003_ac_ahab,3,256,17.48,32.76,62.3,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r004_ac_ahab,4,527,42.61,28.32,55.28,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r005_ac_ahab,5,175,40.55,50.76,52.79,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r006_ac_ahab,6,307,14.93,29.73,49.99,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r007_ac_ahab,7,44,40.5,35.32,47.16,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r008_ac_ahab,8,1869,16.42,70.27,33.71,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r009_ac_ahab,9,689,32.58,60.2,38.85,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r010_ac_ahab,10,905,46.35,57.8,39.57,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r011_ac_ahab,11,21,31.86,51.57,38.76,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r012_ac_ahab,12,19,43.16,7.89,37.32,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r013_ac_ahab,13,35,41.03,42,36.66,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r014_ac_ahab,14,48,10.44,34.75,35.81,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r015_ac_ahab,15,208,39.99,45.12,25.58,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r016_ac_ahab,16,523,59.77,25.35,23.77,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r017_ac_ahab,17,20,50.6,80.2,26.5,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r018_ac_ahab,18,129,37.68,19.19,24.31,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r019_ac_ahab,19,146,20.51,25.77,22.82,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB,after_cluster,r020_ac_ahab,20,152,15.38,61.86,19.53,24848,24848,0,common_appraisal_after_cluster_AHAB.nii.gz
A,common_appraisal,共同评价系统,AHAB_PIP,consensus,r001_con_ahab_pip,1,12704,43.71,66.95,56.47,18489,18253,236,common_appraisal_consensus_AHAB_PIP.nii.gz
A,common_appraisal,共同评价系统,AHAB_PIP,consensus,r002_con_ahab_pip,2,465,18.53,30.13,62.28,18489,18253,236,common_appraisal_consensus_AHAB_PIP.nii.gz
A,common_appraisal,共同评价系统,AHAB_PIP,consensus,r003_con_ahab_pip,3,1118,58.84,27.49,59.58,18489,18253,236,common_appraisal_consensus_AHAB_PIP.nii.gz
A,common_appraisal,共同评价系统,AHAB_PIP,consensus,r004_con_ahab_pip,4,707,40.5,25.85,56.66,18489,18253,236,common_appraisal_consensus_AHAB_PIP.nii.gz
A,common_appraisal,共同评价系统,AHAB_PIP,consensus,r005_con_ahab_pip,5,334,15.51,29.22,48.06,18489,18253,236,common_appraisal_consensus_AHAB_PIP.nii.gz
A,common_appraisal,共同评价系统,AHAB_PIP,consensus,r006_con_ahab_pip,6,122,31.98,87.06,46.52,18489,18253,236,common_appraisal_consensus_AHAB_PIP.nii.gz
A,common_appraisal,共同评价系统,AHAB_PIP,consensus,r007_con_ahab_pip,7,272,57.04,83.11,41.91,18489,18253,236,common_appraisal_consensus_AHAB_PIP.nii.gz
A,common_appraisal,共同评价系统,AHAB_PIP,consensus,r008_con_ahab_pip,8,367,65.86,27.6,42.26,18489,18253,236,common_appraisal_consensus_AHAB_PIP.nii.gz
A,common_appraisal,共同评价系统,AHAB_PIP,consensus,r009_con_ahab_pip,9,1397,16.58,67.75,34.23,18489,18253,236,common_appraisal_consensus_AHAB_PIP.nii.gz
A,common_appraisal,共同评价系统,AHAB_PIP,consensus,r010_con_ahab_pip,10,30,10.83,33.07,36.1,18489,18253,236,common_appraisal_consensus_AHAB_PIP.nii.gz
A,common_appraisal,共同评价系统,AHAB_PIP,consensus,r011_con_ahab_pip,11,568,57.14,25.21,22.44,18489,18253,236,common_appraisal_consensus_AHAB_PIP.nii.gz
A,common_appraisal,共同评价系统,AHAB_PIP,consensus,r012_con_ahab_pip,12,146,35.21,20.22,23.46,18489,18253,236,common_appraisal_consensus_AHAB_PIP.nii.gz
A,common_appraisal,共同评价系统,AHAB_PIP,consensus,r013_con_ahab_pip,13,23,45.26,18.13,23,18489,18253,236,common_appraisal_consensus_AHAB_PIP.nii.gz
A,common_appraisal,共同评价系统,PIP,after_cluster,r001_ac_pip,1,2421,47.9,67.6,59.86,5640,5640,0,common_appraisal_after_cluster_PIP.nii.gz
A,common_appraisal,共同评价系统,PIP,after_cluster,r002_ac_pip,2,924,18.44,65.21,58.19,5640,5640,0,common_appraisal_after_cluster_PIP.nii.gz
A,common_appraisal,共同评价系统,PIP,after_cluster,r003_ac_pip,3,163,18.28,29.33,61.4,5640,5640,0,common_appraisal_after_cluster_PIP.nii.gz
A,common_appraisal,共同评价系统,PIP,after_cluster,r004_ac_pip,4,312,59.66,27.84,59.67,5640,5640,0,common_appraisal_after_cluster_PIP.nii.gz
A,common_appraisal,共同评价系统,PIP,after_cluster,r005_ac_pip,5,395,38.79,25.15,57.83,5640,5640,0,common_appraisal_after_cluster_PIP.nii.gz
A,common_appraisal,共同评价系统,PIP,after_cluster,r006_ac_pip,6,261,14.44,28.43,43.13,5640,5640,0,common_appraisal_after_cluster_PIP.nii.gz
A,common_appraisal,共同评价系统,PIP,after_cluster,r007_ac_pip,7,16,31.75,87,46.62,5640,5640,0,common_appraisal_after_cluster_PIP.nii.gz
A,common_appraisal,共同评价系统,PIP,after_cluster,r008_ac_pip,8,64,56.34,82.22,41.25,5640,5640,0,common_appraisal_after_cluster_PIP.nii.gz
A,common_appraisal,共同评价系统,PIP,after_cluster,r009_ac_pip,9,91,64.6,26.51,41.92,5640,5640,0,common_appraisal_after_cluster_PIP.nii.gz
A,common_appraisal,共同评价系统,PIP,after_cluster,r010_ac_pip,10,294,16.13,67.45,34.58,5640,5640,0,common_appraisal_after_cluster_PIP.nii.gz
A,common_appraisal,共同评价系统,PIP,after_cluster,r011_ac_pip,11,332,60.9,66.26,34.57,5640,5640,0,common_appraisal_after_cluster_PIP.nii.gz
A,common_appraisal,共同评价系统,PIP,after_cluster,r012_ac_pip,12,89,48.27,8.31,32.44,5640,5640,0,common_appraisal_after_cluster_PIP.nii.gz
A,common_appraisal,共同评价系统,PIP,after_cluster,r013_ac_pip,13,34,29.44,7.5,33.82,5640,5640,0,common_appraisal_after_cluster_PIP.nii.gz
A,common_appraisal,共同评价系统,PIP,after_cluster,r014_ac_pip,14,42,45.1,51.98,30.6,5640,5640,0,common_appraisal_after_cluster_PIP.nii.gz
A,common_appraisal,共同评价系统,PIP,after_cluster,r015_ac_pip,15,163,55.46,24.56,21.66,5640,5640,0,common_appraisal_after_cluster_PIP.nii.gz
A,common_appraisal,共同评价系统,PIP,after_cluster,r016_ac_pip,16,39,35.46,20.13,23,5640,5640,0,common_appraisal_after_cluster_PIP.nii.gz
