route,system,system_label,tag,map_type,roi_folder,component_id,n_voxels,centroid_i,centroid_j,centroid_k,original_voxels_in_system_map,exclusive_voxels_after_overlap_removal,overlap_voxels_removed_before_assignment,source_nifti
A,modifiable_emotion,可调节情绪系统,AHAB,after_cluster,r001_ac_ahab,1,83,56.64,53.73,71.51,14662,14662,0,modifiable_emotion_after_cluster_AHAB.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB,after_cluster,r002_ac_ahab,2,96,21.72,52.48,71.62,14662,14662,0,modifiable_emotion_after_cluster_AHAB.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB,after_cluster,r003_ac_ahab,3,5512,56.58,23.23,46.03,14662,14662,0,modifiable_emotion_after_cluster_AHAB.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB,after_cluster,r004_ac_ahab,4,22,52.45,52.32,64.05,14662,14662,0,modifiable_emotion_after_cluster_AHAB.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB,after_cluster,r005_ac_ahab,5,328,13.17,45.59,57.36,14662,14662,0,modifiable_emotion_after_cluster_AHAB.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB,after_cluster,r006_ac_ahab,6,7755,24.08,21.13,41.79,14662,14662,0,modifiable_emotion_after_cluster_AHAB.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB,after_cluster,r007_ac_ahab,7,105,68.3,60.21,50.88,14662,14662,0,modifiable_emotion_after_cluster_AHAB.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB,after_cluster,r008_ac_ahab,8,669,40.02,78.38,28.95,14662,14662,0,modifiable_emotion_after_cluster_AHAB.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB,after_cluster,r009_ac_ahab,9,52,39.77,63.17,31.29,14662,14662,0,modifiable_emotion_after_cluster_AHAB.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB,after_cluster,r010_ac_ahab,10,18,26.39,74.17,30.22,14662,14662,0,modifiable_emotion_after_cluster_AHAB.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB,after_cluster,r011_ac_ahab,11,22,28.18,76.23,16.64,14662,14662,0,modifiable_emotion_after_cluster_AHAB.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB_PIP,consensus,r001_con_ahab_pip,1,5312,57.35,27.14,50.67,13087,12338,749,modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB_PIP,consensus,r002_con_ahab_pip,2,74,52.34,52.57,64.03,13087,12338,749,modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB_PIP,consensus,r003_con_ahab_pip,3,1165,13.18,45.09,56.63,13087,12338,749,modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB_PIP,consensus,r004_con_ahab_pip,4,26,29.27,26.88,63.92,13087,12338,749,modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB_PIP,consensus,r005_con_ahab_pip,5,5297,22.96,20.72,39.45,13087,12338,749,modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB_PIP,consensus,r006_con_ahab_pip,6,174,66.38,59.23,49.26,13087,12338,749,modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB_PIP,consensus,r007_con_ahab_pip,7,219,36.52,30.64,44.22,13087,12338,749,modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB_PIP,consensus,r008_con_ahab_pip,8,32,43.59,30.88,44.56,13087,12338,749,modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,AHAB_PIP,consensus,r009_con_ahab_pip,9,39,26.31,74.18,29.9,13087,12338,749,modifiable_emotion_consensus_AHAB_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,PIP,after_cluster,r001_ac_pip,1,1389,58.22,36.68,62.71,5775,5775,0,modifiable_emotion_after_cluster_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,PIP,after_cluster,r002_ac_pip,2,1270,16.81,40.61,58.57,5775,5775,0,modifiable_emotion_after_cluster_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,PIP,after_cluster,r003_ac_pip,3,43,52.47,53.47,64.07,5775,5775,0,modifiable_emotion_after_cluster_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,PIP,after_cluster,r004_ac_pip,4,130,64.97,59.59,47.75,5775,5775,0,modifiable_emotion_after_cluster_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,PIP,after_cluster,r005_ac_pip,5,1621,20.87,21.5,38.66,5775,5775,0,modifiable_emotion_after_cluster_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,PIP,after_cluster,r006_ac_pip,6,156,13.52,60.73,46.66,5775,5775,0,modifiable_emotion_after_cluster_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,PIP,after_cluster,r007_ac_pip,7,101,42.54,83.46,47.04,5775,5775,0,modifiable_emotion_after_cluster_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,PIP,after_cluster,r008_ac_pip,8,803,59.23,18.58,37.1,5775,5775,0,modifiable_emotion_after_cluster_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,PIP,after_cluster,r009_ac_pip,9,20,42.75,31.5,45.95,5775,5775,0,modifiable_emotion_after_cluster_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,PIP,after_cluster,r010_ac_pip,10,47,37.36,31.26,44.47,5775,5775,0,modifiable_emotion_after_cluster_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,PIP,after_cluster,r011_ac_pip,11,58,16.36,75.59,41.34,5775,5775,0,modifiable_emotion_after_cluster_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,PIP,after_cluster,r012_ac_pip,12,93,31.75,14.25,32.25,5775,5775,0,modifiable_emotion_after_cluster_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,PIP,after_cluster,r013_ac_pip,13,26,25.81,73.96,28.58,5775,5775,0,modifiable_emotion_after_cluster_PIP.nii.gz
A,modifiable_emotion,可调节情绪系统,PIP,after_cluster,r014_ac_pip,14,18,25.67,55.61,26.33,5775,5775,0,modifiable_emotion_after_cluster_PIP.nii.gz
