route,system,system_label,tag,map_type,roi_folder,component_id,n_voxels,centroid_i,centroid_j,centroid_k,original_voxels_in_system_map,exclusive_voxels_after_overlap_removal,overlap_voxels_removed_before_assignment,source_nifti
A,reappraisal_only,重评专属系统,AHAB,after_cluster,r001_ac_ahab,1,60,39.85,56.43,70.7,3110,3110,0,reappraisal_only_after_cluster_AHAB.nii.gz
A,reappraisal_only,重评专属系统,AHAB,after_cluster,r002_ac_ahab,2,539,66.98,31.88,54.82,3110,3110,0,reappraisal_only_after_cluster_AHAB.nii.gz
A,reappraisal_only,重评专属系统,AHAB,after_cluster,r003_ac_ahab,3,297,13.66,33.22,55.96,3110,3110,0,reappraisal_only_after_cluster_AHAB.nii.gz
A,reappraisal_only,重评专属系统,AHAB,after_cluster,r004_ac_ahab,4,497,54.28,76.47,45.93,3110,3110,0,reappraisal_only_after_cluster_AHAB.nii.gz
A,reappraisal_only,重评专属系统,AHAB,after_cluster,r005_ac_ahab,5,384,25.14,79.18,49.21,3110,3110,0,reappraisal_only_after_cluster_AHAB.nii.gz
A,reappraisal_only,重评专属系统,AHAB,after_cluster,r006_ac_ahab,6,51,39.2,75.1,42.88,3110,3110,0,reappraisal_only_after_cluster_AHAB.nii.gz
A,reappraisal_only,重评专属系统,AHAB,after_cluster,r007_ac_ahab,7,18,45.5,19.11,41.72,3110,3110,0,reappraisal_only_after_cluster_AHAB.nii.gz
A,reappraisal_only,重评专属系统,AHAB,after_cluster,r008_ac_ahab,8,18,41.94,43.94,38.67,3110,3110,0,reappraisal_only_after_cluster_AHAB.nii.gz
A,reappraisal_only,重评专属系统,AHAB,after_cluster,r009_ac_ahab,9,50,15.42,63.12,34.62,3110,3110,0,reappraisal_only_after_cluster_AHAB.nii.gz
A,reappraisal_only,重评专属系统,AHAB,after_cluster,r010_ac_ahab,10,411,68.27,44.34,28.68,3110,3110,0,reappraisal_only_after_cluster_AHAB.nii.gz
A,reappraisal_only,重评专属系统,AHAB,after_cluster,r011_ac_ahab,11,27,21.19,83.41,37.93,3110,3110,0,reappraisal_only_after_cluster_AHAB.nii.gz
