system,tag,map_type,route_voxels,original_voxels,intersection_voxels,route_only_voxels,original_only_voxels,dice,jaccard,original_coverage,route_extra_fraction,route_to_original_ratio,route_file,original_file
common_appraisal,AHAB,after_cluster,24848,13044,10769,14079,2275,0.568404940356804,0.39704309995207,0.825590309720944,0.566604958145525,1.9049371358479,common_appraisal_after_cluster_AHAB.nii.gz,Common Appraisal.nii
common_appraisal,PIP,after_cluster,5640,13044,4982,658,8062,0.533290515949476,0.363596555247409,0.381938055811101,0.116666666666667,0.432382704691812,common_appraisal_after_cluster_PIP.nii.gz,Common Appraisal.nii
common_appraisal,AHAB_PIP,consensus_product_map,18489,13044,13032,5457,12,0.826562648653791,0.70439435706178,0.999080036798528,0.295148466655849,1.41743330266789,common_appraisal_consensus_AHAB_PIP.nii.gz,Common Appraisal.nii
reappraisal_only,AHAB,after_cluster,3110,2441,859,2251,1582,0.309493784903621,0.18307757885763,0.351904956984842,0.72379421221865,1.27406800491602,reappraisal_only_after_cluster_AHAB.nii.gz,Reappraisal Only.nii
reappraisal_only,PIP,after_cluster,2464,2441,779,1685,1662,0.317635066258919,0.188802714493456,0.319131503482179,0.683847402597403,1.00942236788202,reappraisal_only_after_cluster_PIP.nii.gz,Reappraisal Only.nii
reappraisal_only,AHAB_PIP,consensus_product_map,4052,2441,2386,1666,55,0.734945325735407,0.580959337716094,0.977468250716919,0.411154985192498,1.65997541990987,reappraisal_only_consensus_AHAB_PIP.nii.gz,Reappraisal Only.nii
non_modifiable_emotion,AHAB,after_cluster,18829,17046,6257,12572,10789,0.348822299651568,0.211256668242285,0.367065587234542,0.667693451590631,1.10459931948844,non_modifiable_emotion_after_cluster_AHAB.nii.gz,Non-modifiable Emotion.nii
non_modifiable_emotion,PIP,after_cluster,13290,17046,5801,7489,11245,0.382449894514768,0.236437742001223,0.340314443271149,0.563506395786305,0.779655051038367,non_modifiable_emotion_after_cluster_PIP.nii.gz,Non-modifiable Emotion.nii
non_modifiable_emotion,AHAB_PIP,consensus_product_map,31835,17046,16930,14905,116,0.69270268611526,0.529873869362461,0.993194884430365,0.46819538244071,1.86759357033908,non_modifiable_emotion_consensus_AHAB_PIP.nii.gz,Non-modifiable Emotion.nii
modifiable_emotion,AHAB,after_cluster,14662,8908,6561,8101,2347,0.556724649978787,0.385736962784408,0.73652896273013,0.552516709862229,1.64593623709026,modifiable_emotion_after_cluster_AHAB.nii.gz,Modifiable Emotion.nii
modifiable_emotion,PIP,after_cluster,5775,8908,4082,1693,4826,0.556017162705169,0.385058013394963,0.458239784463404,0.293160173160173,0.648293668612483,modifiable_emotion_after_cluster_PIP.nii.gz,Modifiable Emotion.nii
modifiable_emotion,AHAB_PIP,consensus_product_map,13087,8908,8897,4190,11,0.809002045919527,0.679264009772484,0.998765154916929,0.320165049285551,1.46912887292322,modifiable_emotion_consensus_AHAB_PIP.nii.gz,Modifiable Emotion.nii
