roi_id,source_system,component_id,n_voxels,n_voxels_assigned,centroid_i,centroid_j,centroid_k,map_source,source_path,emotion_generation_n,emotion_generation_mean,emotion_generation_sd,emotion_generation_t,emotion_generation_2logbf,emotion_generation_signed_2logbf,emotion_generation_signed_logbf,emotion_generation_p_gt0,emotion_generation_p_lt0,emotion_generation_p_rope,reappraisal_effect_n,reappraisal_effect_mean,reappraisal_effect_sd,reappraisal_effect_t,reappraisal_effect_2logbf,reappraisal_effect_signed_2logbf,reappraisal_effect_signed_logbf,reappraisal_effect_p_gt0,reappraisal_effect_p_lt0,reappraisal_effect_p_rope,look_neu_base_n,look_neu_base_mean,look_neu_base_sd,look_neu_base_t,look_neu_base_2logbf,look_neu_base_signed_2logbf,look_neu_base_signed_logbf,look_neu_base_p_gt0,look_neu_base_p_lt0,look_neu_base_p_rope,look_neg_base_n,look_neg_base_mean,look_neg_base_sd,look_neg_base_t,look_neg_base_2logbf,look_neg_base_signed_2logbf,look_neg_base_signed_logbf,look_neg_base_p_gt0,look_neg_base_p_lt0,look_neg_base_p_rope,reg_neg_base_n,reg_neg_base_mean,reg_neg_base_sd,reg_neg_base_t,reg_neg_base_2logbf,reg_neg_base_signed_2logbf,reg_neg_base_signed_logbf,reg_neg_base_p_gt0,reg_neg_base_p_lt0,reg_neg_base_p_rope,look_negative_minus_neutral_n,look_negative_minus_neutral_mean,look_negative_minus_neutral_sd,look_negative_minus_neutral_t,look_negative_minus_neutral_2logbf,look_negative_minus_neutral_signed_2logbf,look_negative_minus_neutral_signed_logbf,look_negative_minus_neutral_p_gt0,look_negative_minus_neutral_p_lt0,look_negative_minus_neutral_p_rope,regulate_negative_minus_look_negative_n,regulate_negative_minus_look_negative_mean,regulate_negative_minus_look_negative_sd,regulate_negative_minus_look_negative_t,regulate_negative_minus_look_negative_2logbf,regulate_negative_minus_look_negative_signed_2logbf,regulate_negative_minus_look_negative_signed_logbf,regulate_negative_minus_look_negative_p_gt0,regulate_negative_minus_look_negative_p_lt0,regulate_negative_minus_look_negative_p_rope,look_neutral_base_n,look_neutral_base_mean,look_neutral_base_sd,look_neutral_base_t,look_neutral_base_2logbf,look_neutral_base_signed_2logbf,look_neutral_base_signed_logbf,look_neutral_base_p_gt0,look_neutral_base_p_lt0,look_neutral_base_p_rope,look_negative_base_n,look_negative_base_mean,look_negative_base_sd,look_negative_base_t,look_negative_base_2logbf,look_negative_base_signed_2logbf,look_negative_base_signed_logbf,look_negative_base_p_gt0,look_negative_base_p_lt0,look_negative_base_p_rope,regulate_negative_base_n,regulate_negative_base_mean,regulate_negative_base_sd,regulate_negative_base_t,regulate_negative_base_2logbf,regulate_negative_base_signed_2logbf,regulate_negative_base_signed_logbf,regulate_negative_base_p_gt0,regulate_negative_base_p_lt0,regulate_negative_base_p_rope,p_cluster_1,p_cluster_2,p_cluster_3,p_cluster_4,p_cluster_5,cluster,max_posterior,roi_role_from_route_a_effects
1,reappraisal_only,1,530,530,14.0132075471698,30.8132075471698,55.6905660377359,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,182,-0.00115424828968255,0.312548010188224,-0.0498216601972255,-4.9805910179039,-4.9805910179039,-2.49029550895195,0.480132252887122,0.519867747112878,0.968878421673841,182,0.199389820438711,0.209262648528085,12.854256405713,100,100,50,1,4.07024413836465e-38,2.96163888452277e-22,182,-2.40834370142491e-05,0.40197906248672,-0.000808259331642669,-4.98303422758307,-4.98303422758307,-2.49151711379154,0.499677551214187,0.500322448785813,0.906660569536641,182,-0.00117833172669681,0.409340307409992,-0.0388345926348633,-4.98155003876422,-4.98155003876422,-2.49077501938211,0.484511132346538,0.515488867653462,0.900364243149223,182,0.198211488712014,0.471265132990213,5.67412903913443,24.2276321237288,24.2276321237288,12.1138160618644,0.999999993030199,6.96980154061535e-09,1.10375540520608e-05,182,-0.00115424828968255,0.312548010188224,-0.0498216601972255,-4.9805910179039,-4.9805910179039,-2.49029550895195,0.480132252887122,0.519867747112878,0.968878421673841,182,0.199389820438711,0.209262648528085,12.854256405713,100,100,50,1,4.07024413836465e-38,2.96163888452277e-22,182,-2.40834370142491e-05,0.40197906248672,-0.000808259331642669,-4.98303422758307,-4.98303422758307,-2.49151711379154,0.499677551214187,0.500322448785813,0.906660569536641,182,-0.00117833172669681,0.409340307409992,-0.0388345926348633,-4.98155003876422,-4.98155003876422,-2.49077501938211,0.484511132346538,0.515488867653462,0.900364243149223,182,0.198211488712014,0.471265132990213,5.67412903913443,24.2276321237288,24.2276321237288,12.1138160618644,0.999999993030199,6.96980154061535e-09,1.10375540520608e-05,0.998,0.002,0,0,0,1,0.998,Reappraisal-only-like: regulation/reappraisal engagement with little emotion-generation evidence
2,reappraisal_only,2,627,627,65.3014354066986,31.5582137161085,54.7735247208932,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,182,0.00415687392667125,0.207251057289237,0.270586292594397,-4.91096282708677,4.91096282708677,2.45548141354339,0.606645380205542,0.393354619794458,0.99836639956277,182,0.233200967595178,0.193010026535818,16.299946224475,100,100,50,1,4.93894992508587e-60,7.67461057760844e-38,182,0.0331589085611648,0.286789034290287,1.55981603128204,-2.60326940200361,2.60326940200361,1.30163470100181,0.940598319039742,0.0594016809602582,0.785836714644466,182,0.037315782487836,0.301122239261236,1.67180421394685,-2.2519431099819,2.2519431099819,1.12597155499095,0.952718532196756,0.0472814678032435,0.71502919250923,182,0.270516750083014,0.350689648712316,10.4065531880645,78.8332058782382,78.8332058782382,39.4166029391191,1,1.15725238841462e-25,1.09640744452893e-17,182,0.00415687392667125,0.207251057289237,0.270586292594397,-4.91096282708677,4.91096282708677,2.45548141354339,0.606645380205542,0.393354619794458,0.99836639956277,182,0.233200967595178,0.193010026535818,16.299946224475,100,100,50,1,4.93894992508587e-60,7.67461057760844e-38,182,0.0331589085611648,0.286789034290287,1.55981603128204,-2.60326940200361,2.60326940200361,1.30163470100181,0.940598319039742,0.0594016809602582,0.785836714644466,182,0.037315782487836,0.301122239261236,1.67180421394685,-2.2519431099819,2.2519431099819,1.12597155499095,0.952718532196756,0.0472814678032435,0.71502919250923,182,0.270516750083014,0.350689648712316,10.4065531880645,78.8332058782382,78.8332058782382,39.4166029391191,1,1.15725238841462e-25,1.09640744452893e-17,0.998,0.002,0,0,0,1,0.998,Reappraisal-only-like: regulation/reappraisal engagement with little emotion-generation evidence
3,reappraisal_only,3,58,58,49.0172413793103,64.4655172413793,60.4827586206897,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,182,0.0157376829849858,0.162592675093344,1.30579653039042,-3.31198607368553,3.31198607368553,1.65599303684276,0.904189119854273,0.0958108801457274,0.99776425530749,182,0.0505560341610629,0.134254270216301,5.08019735987423,18.7953348409754,18.7953348409754,9.39766742048768,0.999999811478524,1.88521476304938e-07,0.477721127780016,182,-0.0150746049278083,0.199577575010285,-1.01898992880331,-3.96359988278911,-3.96359988278911,-1.98179994139456,0.154103873914439,0.845896126085562,0.990877589662602,182,0.000663078057177492,0.233702326168729,0.0382769491428206,-4.98159237518235,4.98159237518235,2.49079618759117,0.515266565382834,0.484733434617166,0.996075887945499,182,0.0512191122182404,0.234361527441483,2.94836617896058,3.37963220056563,3.37963220056563,1.68981610028281,0.998402707920643,0.00159729207935719,0.472026499360714,182,0.0157376829849858,0.162592675093344,1.30579653039042,-3.31198607368553,3.31198607368553,1.65599303684276,0.904189119854273,0.0958108801457274,0.99776425530749,182,0.0505560341610629,0.134254270216301,5.08019735987423,18.7953348409754,18.7953348409754,9.39766742048768,0.999999811478524,1.88521476304938e-07,0.477721127780016,182,-0.0150746049278083,0.199577575010285,-1.01898992880331,-3.96359988278911,-3.96359988278911,-1.98179994139456,0.154103873914439,0.845896126085562,0.990877589662602,182,0.000663078057177492,0.233702326168729,0.0382769491428206,-4.98159237518235,4.98159237518235,2.49079618759117,0.515266565382834,0.484733434617166,0.996075887945499,182,0.0512191122182404,0.234361527441483,2.94836617896058,3.37963220056563,3.37963220056563,1.68981610028281,0.998402707920643,0.00159729207935719,0.472026499360714,0.998,0.002,0,0,0,1,0.998,Reappraisal-only-like: regulation/reappraisal engagement with little emotion-generation evidence
4,reappraisal_only,4,157,157,55.859872611465,71.0127388535032,53.9808917197452,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,182,0.00881366691510785,0.192125756426368,0.618880412148334,-4.60632785273001,4.60632785273001,2.30316392636501,0.73200242830141,0.26799757169859,0.998068056315894,182,0.0954192830105287,0.138277941610823,9.30934095902142,64.9160218563185,64.9160218563185,32.4580109281593,1,6.43139884696798e-21,4.68512689912316e-06,182,0.0609173998142465,0.225453431086534,3.6451902726335,7.64847498148002,7.64847498148002,3.82423749074001,0.999866402980031,0.000133597019969145,0.256788523206244,182,0.0697310667293544,0.282843197557949,3.32595420138116,5.59335968632233,5.59335968632233,2.79667984316116,0.99955941797121,0.000440582028790326,0.173324166340728,182,0.165150349739883,0.311095778944896,7.16178160428011,39.5573999521771,39.5573999521771,19.7786999760885,0.999999999999602,3.98176111987473e-13,2.96442451381941e-07,182,0.00881366691510785,0.192125756426368,0.618880412148334,-4.60632785273001,4.60632785273001,2.30316392636501,0.73200242830141,0.26799757169859,0.998068056315894,182,0.0954192830105287,0.138277941610823,9.30934095902142,64.9160218563185,64.9160218563185,32.4580109281593,1,6.43139884696798e-21,4.68512689912316e-06,182,0.0609173998142465,0.225453431086534,3.6451902726335,7.64847498148002,7.64847498148002,3.82423749074001,0.999866402980031,0.000133597019969145,0.256788523206244,182,0.0697310667293544,0.282843197557949,3.32595420138116,5.59335968632233,5.59335968632233,2.79667984316116,0.99955941797121,0.000440582028790326,0.173324166340728,182,0.165150349739883,0.311095778944896,7.16178160428011,39.5573999521771,39.5573999521771,19.7786999760885,0.999999999999602,3.98176111987473e-13,2.96442451381941e-07,0.998,0.002,0,0,0,1,0.998,Reappraisal-only-like: regulation/reappraisal engagement with little emotion-generation evidence
5,reappraisal_only,5,138,138,22.9855072463768,76.8550724637681,52.8333333333333,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,182,0.0193441441523432,0.324305713564615,0.804693723327193,-4.34662018472318,4.34662018472318,2.17331009236159,0.78950177874685,0.21049822125315,0.896929865743086,182,0.104753224654014,0.22655311408645,6.23782316305013,29.7676451153966,29.7676451153966,14.8838225576983,0.999999999778149,2.21850910400356e-10,0.000556210058666703,182,0.13993227381173,0.313973449345674,6.01257713527867,27.5115320263621,27.5115320263621,13.755766013181,0.999999999087015,9.12984496748641e-10,5.57294814937518e-05,182,0.159276417964073,0.426082002193857,5.04305824630286,18.4704384063569,18.4704384063569,9.23521920317845,0.999999770925143,2.29074857295369e-07,0.000270144770565504,182,0.264029642618087,0.393843261542433,9.04409181338956,61.6303523035674,61.6303523035674,30.8151761517837,1,7.54572034170531e-20,1.1389061896178e-13,182,0.0193441441523432,0.324305713564615,0.804693723327193,-4.34662018472318,4.34662018472318,2.17331009236159,0.78950177874685,0.21049822125315,0.896929865743086,182,0.104753224654014,0.22655311408645,6.23782316305013,29.7676451153966,29.7676451153966,14.8838225576983,0.999999999778149,2.21850910400356e-10,0.000556210058666703,182,0.13993227381173,0.313973449345674,6.01257713527867,27.5115320263621,27.5115320263621,13.755766013181,0.999999999087015,9.12984496748641e-10,5.57294814937518e-05,182,0.159276417964073,0.426082002193857,5.04305824630286,18.4704384063569,18.4704384063569,9.23521920317845,0.999999770925143,2.29074857295369e-07,0.000270144770565504,182,0.264029642618087,0.393843261542433,9.04409181338956,61.6303523035674,61.6303523035674,30.8151761517837,1,7.54572034170531e-20,1.1389061896178e-13,0.998,0.002,0,0,0,1,0.998,Reappraisal-only-like: regulation/reappraisal engagement with little emotion-generation evidence
6,reappraisal_only,6,133,133,55.0300751879699,79.2932330827068,49.4812030075188,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,182,0.00315791597311959,0.228878443567024,0.186136426725653,-4.94892630344945,4.94892630344945,2.47446315172473,0.573831111674232,0.426168888325768,0.996254468106522,182,0.101457328953792,0.184877679226507,7.40345835424066,42.2466336121339,42.2466336121339,21.1233168060669,0.999999999999934,6.63413929198537e-14,8.67051197046635e-05,182,0.181262296670548,0.311763602712804,7.84364195567669,47.2656490844332,47.2656490844332,23.6328245422166,0.999999999999998,2.18831924826201e-15,6.73373526877421e-09,182,0.184420212643667,0.404082926645107,6.15706461737311,28.9524608909217,28.9524608909217,14.4762304454608,0.999999999629472,3.70528092823518e-10,3.59877148563849e-06,182,0.285877541597459,0.469451101450119,8.21533675605416,51.6151370915807,51.6151370915807,25.8075685457903,1,1.05784841217188e-16,6.07259804742154e-12,182,0.00315791597311959,0.228878443567024,0.186136426725653,-4.94892630344945,4.94892630344945,2.47446315172473,0.573831111674232,0.426168888325768,0.996254468106522,182,0.101457328953792,0.184877679226507,7.40345835424066,42.2466336121339,42.2466336121339,21.1233168060669,0.999999999999934,6.63413929198537e-14,8.67051197046635e-05,182,0.181262296670548,0.311763602712804,7.84364195567669,47.2656490844332,47.2656490844332,23.6328245422166,0.999999999999998,2.18831924826201e-15,6.73373526877421e-09,182,0.184420212643667,0.404082926645107,6.15706461737311,28.9524608909217,28.9524608909217,14.4762304454608,0.999999999629472,3.70528092823518e-10,3.59877148563849e-06,182,0.285877541597459,0.469451101450119,8.21533675605416,51.6151370915807,51.6151370915807,25.8075685457903,1,1.05784841217188e-16,6.07259804742154e-12,0.998,0.002,0,0,0,1,0.998,Reappraisal-only-like: regulation/reappraisal engagement with little emotion-generation evidence
7,reappraisal_only,7,165,165,24.969696969697,84.8121212121212,46.6242424242424,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,182,0.00959443869139846,0.29900881815144,0.432883736514487,-4.79863389646008,4.79863389646008,2.39931694823004,0.667450382118001,0.332549617881999,0.962264727397386,182,0.155490990687668,0.252814716865062,8.29733401134991,52.5873449426584,52.5873449426584,26.2936724713292,1,5.32368561294006e-17,9.0509848678148e-09,182,0.128900391761962,0.395013634968388,4.40228185337853,13.1583085524302,13.1583085524302,6.5791542762151,0.999994644086341,5.35591365854067e-06,0.00352310322358805,182,0.13849483045336,0.509585962616507,3.66650094111143,7.79149632957376,7.79149632957376,3.89574816478688,0.999877053992727,0.000122946007272881,0.00956939048695259,182,0.293985821141028,0.493612444690214,8.03481679400112,49.4906790100728,49.4906790100728,24.7453395050364,1,4.685941622412e-16,1.29404522670471e-11,182,0.00959443869139846,0.29900881815144,0.432883736514487,-4.79863389646008,4.79863389646008,2.39931694823004,0.667450382118001,0.332549617881999,0.962264727397386,182,0.155490990687668,0.252814716865062,8.29733401134991,52.5873449426584,52.5873449426584,26.2936724713292,1,5.32368561294006e-17,9.0509848678148e-09,182,0.128900391761962,0.395013634968388,4.40228185337853,13.1583085524302,13.1583085524302,6.5791542762151,0.999994644086341,5.35591365854067e-06,0.00352310322358805,182,0.13849483045336,0.509585962616507,3.66650094111143,7.79149632957376,7.79149632957376,3.89574816478688,0.999877053992727,0.000122946007272881,0.00956939048695259,182,0.293985821141028,0.493612444690214,8.03481679400112,49.4906790100728,49.4906790100728,24.7453395050364,1,4.685941622412e-16,1.29404522670471e-11,0.998,0.002,0,0,0,1,0.998,Reappraisal-only-like: regulation/reappraisal engagement with little emotion-generation evidence
8,reappraisal_only,8,55,55,57.2181818181818,83.9636363636364,34.5090909090909,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,182,0.00976054859787397,0.313788168110976,0.419636598791452,-4.80974199930359,4.80974199930359,2.4048709996518,0.662624526127772,0.337375473872228,0.953091363067119,182,0.147598267024106,0.29097617526132,6.8432045456017,36.0902570168551,36.0902570168551,18.0451285084276,0.999999999996128,3.87204757908348e-12,3.01950962499072e-06,182,0.253842799878319,0.445646970381458,7.68439330473438,45.4326151360028,45.4326151360028,22.7163075680014,0.999999999999992,7.68618640186378e-15,3.39768126919904e-10,182,0.263603348476193,0.495992830125848,7.16986895592666,39.6465883863585,39.6465883863585,19.8232941931792,0.999999999999625,3.75347945761359e-13,3.12558475256358e-09,182,0.411201615500299,0.488992751087628,11.3445711985564,91.0428901284678,91.0428901284678,45.5214450642339,1,3.94560576342916e-30,1.08295455244757e-23,182,0.00976054859787397,0.313788168110976,0.419636598791452,-4.80974199930359,4.80974199930359,2.4048709996518,0.662624526127772,0.337375473872228,0.953091363067119,182,0.147598267024106,0.29097617526132,6.8432045456017,36.0902570168551,36.0902570168551,18.0451285084276,0.999999999996128,3.87204757908348e-12,3.01950962499072e-06,182,0.253842799878319,0.445646970381458,7.68439330473438,45.4326151360028,45.4326151360028,22.7163075680014,0.999999999999992,7.68618640186378e-15,3.39768126919904e-10,182,0.263603348476193,0.495992830125848,7.16986895592666,39.6465883863585,39.6465883863585,19.8232941931792,0.999999999999625,3.75347945761359e-13,3.12558475256358e-09,182,0.411201615500299,0.488992751087628,11.3445711985564,91.0428901284678,91.0428901284678,45.5214450642339,1,3.94560576342916e-30,1.08295455244757e-23,0.998,0.002,0,0,0,1,0.998,Reappraisal-only-like: regulation/reappraisal engagement with little emotion-generation evidence
9,reappraisal_only,9,40,40,68.85,30.875,34.875,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,182,0.0359199829101182,0.240510276280301,2.01482893043383,-1.02961742784477,1.02961742784477,0.514808713922387,0.978038711685928,0.021961288314072,0.785170675344024,182,0.109042641329191,0.194135339902654,7.5775263695492,44.2133379097979,44.2133379097979,22.106668954899,0.999999999999982,1.76102724942159e-14,2.03952325307256e-05,182,-0.0692908623153956,0.32153720572418,-2.90723693054956,3.15306842495225,-3.15306842495225,-1.57653421247612,0.00182318450277778,0.998176815497222,0.209146075241353,182,-0.0333708794052774,0.330796603441957,-1.36095041976408,-3.16856146597333,-3.16856146597333,-1.58428073298666,0.0867646791482906,0.91323532085171,0.750833866220312,182,0.0756717619239134,0.331317304484612,3.08123924481073,4.13129093736961,4.13129093736961,2.06564546868481,0.998969295287522,0.00103070471247783,0.147938510343368,182,0.0359199829101182,0.240510276280301,2.01482893043383,-1.02961742784477,1.02961742784477,0.514808713922387,0.978038711685928,0.021961288314072,0.785170675344024,182,0.109042641329191,0.194135339902654,7.5775263695492,44.2133379097979,44.2133379097979,22.106668954899,0.999999999999982,1.76102724942159e-14,2.03952325307256e-05,182,-0.0692908623153956,0.32153720572418,-2.90723693054956,3.15306842495225,-3.15306842495225,-1.57653421247612,0.00182318450277778,0.998176815497222,0.209146075241353,182,-0.0333708794052774,0.330796603441957,-1.36095041976408,-3.16856146597333,-3.16856146597333,-1.58428073298666,0.0867646791482906,0.91323532085171,0.750833866220312,182,0.0756717619239134,0.331317304484612,3.08123924481073,4.13129093736961,4.13129093736961,2.06564546868481,0.998969295287522,0.00103070471247783,0.147938510343368,0.998,0.002,0,0,0,1,0.998,Reappraisal-only-like: regulation/reappraisal engagement with little emotion-generation evidence
10,reappraisal_only,10,22,22,13,36.7272727272727,34.4090909090909,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,182,0.0264420804506044,0.301432551503888,1.18342616351563,-3.60938121517924,3.60938121517924,1.80469060758962,0.881679853353673,0.118320146646327,0.853825625478104,182,0.127509223620534,0.219122526553338,7.85037257380004,47.343537153717,47.343537153717,23.6717685768585,0.999999999999998,2.07401569274678e-15,9.11946954386615e-07,182,-0.0415548985206837,0.36410887706468,-1.53966647264603,-2.66396632072089,-2.66396632072089,-1.33198316036045,0.0618208366447224,0.938179163355278,0.622476079823461,182,-0.0151128180700794,0.403394799925051,-0.505418172128626,-4.73170611294689,-4.73170611294689,-2.36585305647344,0.306632579026844,0.693367420973156,0.863621713022216,182,0.112396405550455,0.425387340351295,3.56454051754239,7.11376185813316,7.11376185813316,3.55688092906658,0.999817752927106,0.000182247072893767,0.0239168752969799,182,0.0264420804506044,0.301432551503888,1.18342616351563,-3.60938121517924,3.60938121517924,1.80469060758962,0.881679853353673,0.118320146646327,0.853825625478104,182,0.127509223620534,0.219122526553338,7.85037257380004,47.343537153717,47.343537153717,23.6717685768585,0.999999999999998,2.07401569274678e-15,9.11946954386615e-07,182,-0.0415548985206837,0.36410887706468,-1.53966647264603,-2.66396632072089,-2.66396632072089,-1.33198316036045,0.0618208366447224,0.938179163355278,0.622476079823461,182,-0.0151128180700794,0.403394799925051,-0.505418172128626,-4.73170611294689,-4.73170611294689,-2.36585305647344,0.306632579026844,0.693367420973156,0.863621713022216,182,0.112396405550455,0.425387340351295,3.56454051754239,7.11376185813316,7.11376185813316,3.55688092906658,0.999817752927106,0.000182247072893767,0.0239168752969799,0.998,0.002,0,0,0,1,0.998,Reappraisal-only-like: regulation/reappraisal engagement with little emotion-generation evidence
