iteration,loglik
1,-9800.06847697604
2,-9705.12889827788
3,-9823.02730880649
4,-9573.60686068381
5,-9791.92773413174
6,-9800.20031554014
7,-9709.31126677023
8,-9695.6304615558
9,-9730.55140777971
10,-9662.28320784522
11,-9743.41794197359
12,-9665.11062236097
13,-9850.85401179731
14,-9735.67415013481
15,-9643.50810625003
16,-9741.70957135361
17,-9764.14559804417
18,-9797.18081590353
19,-9742.10373831459
20,-9638.26592548866
21,-9871.27589053406
22,-9601.07429896728
23,-9694.52791388506
24,-9636.25174959962
25,-9736.26139902171
26,-9815.8472913102
27,-9807.50821642658
28,-9767.09049499186
29,-9741.83122097681
30,-9714.95668321681
31,-9755.8114454066
32,-9721.99199976145
33,-9712.66015551039
34,-9846.82951055951
35,-9557.20217700425
36,-9698.06240562239
37,-9611.55221221695
38,-9861.67724612831
39,-9698.50287879536
40,-9765.86744654056
41,-9741.79725433114
42,-9705.47647418087
43,-9674.28673555036
44,-9663.73569967176
45,-9804.10151404214
46,-9660.10862440857
47,-9651.75169808949
48,-9691.124268163
49,-9736.78681233847
50,-9848.6471821718
51,-9726.59993094905
52,-9808.10191151718
53,-9640.66444869745
54,-9730.93303800776
55,-9745.86856424207
56,-9697.47125029241
57,-9597.51444899669
58,-9684.27169512741
59,-9839.44917530062
60,-9594.53324875095
61,-9709.47356043984
62,-9632.29225341847
63,-9657.89810479836
64,-9709.19760030811
65,-9706.15308704179
66,-9721.06544265395
67,-9734.69738877028
68,-9742.13526945681
69,-9608.56977223647
70,-9647.56054025154
71,-9776.96511475056
72,-9641.05403797597
73,-9807.17016259301
74,-9662.52088376147
75,-9743.22984479186
76,-9753.65982564151
77,-9791.86902811774
78,-9744.62064343797
79,-9704.22458603224
80,-9866.95094366756
81,-9575.15263137359
82,-9724.66998131152
83,-9597.96033529324
84,-9695.93568168217
85,-9669.54409687066
86,-9638.37616770481
87,-9657.98093080609
88,-9764.37989258565
89,-9687.59646264939
90,-9859.50233893844
91,-9666.92177576449
92,-9666.96108291959
93,-9870.4954424564
