iteration,loglik
1,-10419.4856701678
2,-10289.3696571868
3,-10346.4775033214
4,-10349.4328955046
5,-10423.5632381052
6,-10273.275473987
7,-10350.4522118463
8,-10308.1540924928
9,-10384.0353187665
10,-10175.3422877467
11,-10385.4994104284
12,-10372.5017836336
13,-10404.6675677395
14,-10321.6560157488
15,-10319.553674305
16,-10388.1312896584
17,-10335.208405051
18,-10232.2754061546
19,-10308.765170824
20,-10317.449468951
21,-10254.3562679333
22,-10314.1521310275
23,-10258.9247216109
24,-10305.7018926515
25,-10250.500321513
26,-10350.6649355781
27,-10342.4945111157
28,-10229.7426145606
29,-10237.3360020394
30,-10449.8420986612
31,-10419.4406933763
32,-10384.7934369576
33,-10361.1481712396
34,-10371.1025866322
35,-10430.5482076334
36,-10165.8756391696
37,-10303.4623639403
38,-10463.769716097
39,-10222.5774144768
40,-10383.0530301152
41,-10297.3697215722
42,-10395.6861455888
43,-10218.0571922009
44,-10296.2746465882
45,-10469.409990614
46,-10273.4398654503
47,-10306.2118793798
48,-10384.3182351542
49,-10342.3067100509
50,-10330.1275696038
51,-10320.3706206112
52,-10332.1495726832
53,-10379.2552658471
54,-10289.1679767349
55,-10425.2226038094
56,-10375.3600977558
57,-10242.3308751156
58,-10425.5344370397
59,-10377.0339151513
60,-10281.4150942142
61,-10378.3648695157
62,-10414.6121761957
63,-10314.9195492375
64,-10251.7977400928
65,-10208.2706718551
66,-10377.013029079
67,-10361.4357710529
68,-10366.4337332189
69,-10311.8573567573
70,-10234.4584194348
71,-10267.0830627418
72,-10385.5150021688
73,-10351.2279823305
74,-10374.3791820018
75,-10383.7637504005
76,-10342.288052309
77,-10185.7905836308
78,-10249.6351271478
79,-10190.5168001593
80,-10241.7108229086
81,-10302.9963832699
82,-10360.4142158214
83,-10283.8074458448
84,-10396.1150513487
85,-10344.8677808422
86,-10306.6768052728
87,-10316.7510491635
88,-10271.9576116699
89,-10483.4657651724
90,-10289.9257192767
91,-10381.8906546261
92,-10295.5271437606
93,-10443.1981915638
94,-10306.4283257989
95,-10379.4364022202
96,-10363.1124255474
97,-10348.8148050779
98,-10277.6336166347
99,-10199.4684530344
100,-10309.8743448531
101,-10385.6143007266
102,-10294.9542457487
103,-10306.8006822873
104,-10346.3396120604
105,-10380.3901939801
106,-10293.6644510905
107,-10294.358667504
108,-10333.2052264156
109,-10377.5781908268
110,-10302.3798627874
111,-10358.5924284947
112,-10295.2955806315
113,-10434.2586136466
114,-10438.9103179439
115,-10330.8004447401
116,-10440.7945346629
117,-10449.6069321309
118,-10330.0370238919
119,-10403.9486741502
120,-10377.2550919346
121,-10317.8118884736
122,-10282.8702584372
123,-10253.693353707
124,-10350.1440232294
125,-10316.0481824951
126,-10389.2869325713
127,-10379.1561234479
128,-10346.0482844313
129,-10317.3288704595
130,-10162.374980573
131,-10311.9956185718
132,-10276.4069419149
133,-10311.8464710396
134,-10310.7564931635
135,-10389.7359937317
136,-10236.3254895083
137,-10203.7160690064
138,-10269.6892041229
139,-10273.884146304
140,-10262.1751478231
141,-10446.1033312296
142,-10430.3784244792
143,-10297.5877449834
144,-10215.2800733392
145,-10406.8997039793
146,-10220.1324223786
147,-10364.0680725478
148,-10374.6672466499
149,-10333.8919008601
150,-10278.9030636448
151,-10325.2731384207
152,-10316.5193017191
153,-10282.1187644571
154,-10363.8485580792
155,-10290.2834171765
156,-10227.1178692328
157,-10331.5204117657
158,-10264.6916995633
159,-10443.3868923052
160,-10235.2010408631
161,-10231.1486793607
162,-10335.7800250097
163,-10239.8878011149
164,-10379.8612418809
165,-10285.3330295051
166,-10229.618325851
167,-10252.7704645274
168,-10264.644232851
169,-10369.8132716783
170,-10249.6321152784
171,-10348.4055350014
172,-10344.7624059264
173,-10393.269177749
174,-10258.3082531375
175,-10362.7281460115
176,-10377.7674569892
177,-10403.9585995305
178,-10360.8459490807
179,-10430.050033985
180,-10287.9486397871
181,-10380.5604889242
182,-10260.3812220247
183,-10358.355079481
