roi_id,source_system,component_id,n_voxels,n_voxels_assigned,centroid_i,centroid_j,centroid_k,map_source,source_path,emotion_generation_n,emotion_generation_mean,emotion_generation_sd,emotion_generation_t,emotion_generation_2logbf,emotion_generation_signed_2logbf,emotion_generation_signed_logbf,emotion_generation_p_gt0,emotion_generation_p_lt0,emotion_generation_p_rope,reappraisal_effect_n,reappraisal_effect_mean,reappraisal_effect_sd,reappraisal_effect_t,reappraisal_effect_2logbf,reappraisal_effect_signed_2logbf,reappraisal_effect_signed_logbf,reappraisal_effect_p_gt0,reappraisal_effect_p_lt0,reappraisal_effect_p_rope,look_neu_base_n,look_neu_base_mean,look_neu_base_sd,look_neu_base_t,look_neu_base_2logbf,look_neu_base_signed_2logbf,look_neu_base_signed_logbf,look_neu_base_p_gt0,look_neu_base_p_lt0,look_neu_base_p_rope,look_neg_base_n,look_neg_base_mean,look_neg_base_sd,look_neg_base_t,look_neg_base_2logbf,look_neg_base_signed_2logbf,look_neg_base_signed_logbf,look_neg_base_p_gt0,look_neg_base_p_lt0,look_neg_base_p_rope,reg_neg_base_n,reg_neg_base_mean,reg_neg_base_sd,reg_neg_base_t,reg_neg_base_2logbf,reg_neg_base_signed_2logbf,reg_neg_base_signed_logbf,reg_neg_base_p_gt0,reg_neg_base_p_lt0,reg_neg_base_p_rope,look_negative_minus_neutral_n,look_negative_minus_neutral_mean,look_negative_minus_neutral_sd,look_negative_minus_neutral_t,look_negative_minus_neutral_2logbf,look_negative_minus_neutral_signed_2logbf,look_negative_minus_neutral_signed_logbf,look_negative_minus_neutral_p_gt0,look_negative_minus_neutral_p_lt0,look_negative_minus_neutral_p_rope,regulate_negative_minus_look_negative_n,regulate_negative_minus_look_negative_mean,regulate_negative_minus_look_negative_sd,regulate_negative_minus_look_negative_t,regulate_negative_minus_look_negative_2logbf,regulate_negative_minus_look_negative_signed_2logbf,regulate_negative_minus_look_negative_signed_logbf,regulate_negative_minus_look_negative_p_gt0,regulate_negative_minus_look_negative_p_lt0,regulate_negative_minus_look_negative_p_rope,look_neutral_base_n,look_neutral_base_mean,look_neutral_base_sd,look_neutral_base_t,look_neutral_base_2logbf,look_neutral_base_signed_2logbf,look_neutral_base_signed_logbf,look_neutral_base_p_gt0,look_neutral_base_p_lt0,look_neutral_base_p_rope,look_negative_base_n,look_negative_base_mean,look_negative_base_sd,look_negative_base_t,look_negative_base_2logbf,look_negative_base_signed_2logbf,look_negative_base_signed_logbf,look_negative_base_p_gt0,look_negative_base_p_lt0,look_negative_base_p_rope,regulate_negative_base_n,regulate_negative_base_mean,regulate_negative_base_sd,regulate_negative_base_t,regulate_negative_base_2logbf,regulate_negative_base_signed_2logbf,regulate_negative_base_signed_logbf,regulate_negative_base_p_gt0,regulate_negative_base_p_lt0,regulate_negative_base_p_rope
1,reappraisal_only,1,530,530,14.0132075471698,30.8132075471698,55.6905660377359,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,176,0.0124409024474883,0.310336954252259,0.531832318470112,-4.67210448234096,4.67210448234096,2.33605224117048,0.702578931585301,0.297421068414699,0.942018493025258,176,0.16451631150517,0.248689049213714,8.77624292474538,58.0177134000893,58.0177134000893,29.0088567000446,1,8.45132578982359e-19,5.01423690640186e-10,176,-0.0517007527829168,0.403040392945193,-1.70178474774537,-2.12322491618541,-2.12322491618541,-1.06161245809271,0.044397863351619,0.955602136648381,0.477270454178977,176,-0.0392598503354285,0.455839421782173,-1.14259703453509,-3.67018329296083,-3.67018329296083,-1.83509164648042,0.126602968676832,0.873397031323168,0.618006788986198,176,0.125256461169742,0.439336155488717,3.78233094706837,8.59069179393077,8.59069179393077,4.29534589696539,0.9999223166964,7.76833036003989e-05,0.0115282157768043,176,0.0124409024474883,0.310336954252259,0.531832318470112,-4.67210448234096,4.67210448234096,2.33605224117048,0.702578931585301,0.297421068414699,0.942018493025258,176,0.16451631150517,0.248689049213714,8.77624292474538,58.0177134000893,58.0177134000893,29.0088567000446,1,8.45132578982359e-19,5.01423690640186e-10,176,-0.0517007527829168,0.403040392945193,-1.70178474774537,-2.12322491618541,-2.12322491618541,-1.06161245809271,0.044397863351619,0.955602136648381,0.477270454178977,176,-0.0392598503354285,0.455839421782173,-1.14259703453509,-3.67018329296083,-3.67018329296083,-1.83509164648042,0.126602968676832,0.873397031323168,0.618006788986198,176,0.125256461169742,0.439336155488717,3.78233094706837,8.59069179393077,8.59069179393077,4.29534589696539,0.9999223166964,7.76833036003989e-05,0.0115282157768043
2,reappraisal_only,2,627,627,65.3014354066986,31.5582137161085,54.7735247208932,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,176,-0.00146392243145741,0.209359542300079,-0.0927644639262694,-4.94175448223811,-4.94175448223811,-2.47087724111906,0.463045341458471,0.536954658541529,0.998394692618083,176,0.134492796216494,0.204506421548389,8.72465790909742,57.3969671772979,57.3969671772979,28.6984835886489,1,1.33493247072853e-18,2.11324504381404e-08,176,0.000235452200690595,0.316912954581005,0.00985641759942078,-4.95012680582361,4.95012680582361,2.47506340291181,0.503932078047378,0.496067921952622,0.96364913464302,176,-0.00122847023076682,0.347672119880362,-0.0468760603867449,-4.94806006806857,-4.94806006806857,-2.47403003403428,0.481306004079169,0.518693995920831,0.943325340407401,176,0.133264325985727,0.340515814910701,5.1919793193767,19.7497734512612,19.7497734512612,9.8748867256306,0.99999989596494,1.04035060010976e-07,0.000589362434967053,176,-0.00146392243145741,0.209359542300079,-0.0927644639262694,-4.94175448223811,-4.94175448223811,-2.47087724111906,0.463045341458471,0.536954658541529,0.998394692618083,176,0.134492796216494,0.204506421548389,8.72465790909742,57.3969671772979,57.3969671772979,28.6984835886489,1,1.33493247072853e-18,2.11324504381404e-08,176,0.000235452200690595,0.316912954581005,0.00985641759942078,-4.95012680582361,4.95012680582361,2.47506340291181,0.503932078047378,0.496067921952622,0.96364913464302,176,-0.00122847023076682,0.347672119880362,-0.0468760603867449,-4.94806006806857,-4.94806006806857,-2.47403003403428,0.481306004079169,0.518693995920831,0.943325340407401,176,0.133264325985727,0.340515814910701,5.1919793193767,19.7497734512612,19.7497734512612,9.8748867256306,0.99999989596494,1.04035060010976e-07,0.000589362434967053
3,reappraisal_only,3,58,58,49.0172413793103,64.4655172413793,60.4827586206897,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,176,0.00289165439996968,0.180254741161204,0.212821756727115,-4.90565667739394,4.90565667739394,2.45282833869697,0.5842670034706,0.4157329965294,0.999687399068575,176,0.0621878796010084,0.185233446575504,4.45392270040755,13.5577357945042,13.5577357945042,6.77886789725208,0.99999578422666,4.21577334040505e-06,0.191358470921194,176,0.0562876974418827,0.286487118923488,2.6065419405838,1.61116939462539,1.61116939462539,0.805584697312697,0.995426918891419,0.00457308110858053,0.38546118738308,176,0.0591793518418524,0.303994728713969,2.5826198529979,1.49346304911145,1.49346304911145,0.746731524555726,0.995097335108535,0.00490266489146537,0.34435931371433,176,0.121367231442861,0.311116481798165,5.1752908263,19.6018628454028,19.6018628454028,9.80093142270139,0.999999886221879,1.13778121307739e-07,0.00117033803727938,176,0.00289165439996968,0.180254741161204,0.212821756727115,-4.90565667739394,4.90565667739394,2.45282833869697,0.5842670034706,0.4157329965294,0.999687399068575,176,0.0621878796010084,0.185233446575504,4.45392270040755,13.5577357945042,13.5577357945042,6.77886789725208,0.99999578422666,4.21577334040505e-06,0.191358470921194,176,0.0562876974418827,0.286487118923488,2.6065419405838,1.61116939462539,1.61116939462539,0.805584697312697,0.995426918891419,0.00457308110858053,0.38546118738308,176,0.0591793518418524,0.303994728713969,2.5826198529979,1.49346304911145,1.49346304911145,0.746731524555726,0.995097335108535,0.00490266489146537,0.34435931371433,176,0.121367231442861,0.311116481798165,5.1752908263,19.6018628454028,19.6018628454028,9.80093142270139,0.999999886221879,1.13778121307739e-07,0.00117033803727938
4,reappraisal_only,4,157,157,55.859872611465,71.0127388535032,53.9808917197452,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,176,0.00141924113289137,0.212261308601178,0.0887036899161655,-4.94247960802385,4.94247960802385,2.47123980401193,0.535341300015344,0.464658699984656,0.99814755308993,176,0.0772217673555688,0.178016170934154,5.75488455060122,24.9377555313865,24.9377555313865,12.4688777656932,0.999999995664949,4.33505132209856e-09,0.0212455306862537,176,0.0891483287177145,0.32554705891341,3.63291940686913,7.57862968128426,7.57862968128426,3.78931484064213,0.999859883717204,0.00014011628279609,0.055317067132616,176,0.0905675698506058,0.366299358249255,3.28014385615566,5.3300443491494,5.3300443491494,2.6650221745747,0.999481229160299,0.000518770839700939,0.0708807273142447,176,0.167789337206175,0.357955392947109,6.2185879726922,29.4838946381138,29.4838946381138,14.7419473190569,0.999999999749176,2.50824333130833e-10,6.34178732121444e-06,176,0.00141924113289137,0.212261308601178,0.0887036899161655,-4.94247960802385,4.94247960802385,2.47123980401193,0.535341300015344,0.464658699984656,0.99814755308993,176,0.0772217673555688,0.178016170934154,5.75488455060122,24.9377555313865,24.9377555313865,12.4688777656932,0.999999995664949,4.33505132209856e-09,0.0212455306862537,176,0.0891483287177145,0.32554705891341,3.63291940686913,7.57862968128426,7.57862968128426,3.78931484064213,0.999859883717204,0.00014011628279609,0.055317067132616,176,0.0905675698506058,0.366299358249255,3.28014385615566,5.3300443491494,5.3300443491494,2.6650221745747,0.999481229160299,0.000518770839700939,0.0708807273142447,176,0.167789337206175,0.357955392947109,6.2185879726922,29.4838946381138,29.4838946381138,14.7419473190569,0.999999999749176,2.50824333130833e-10,6.34178732121444e-06
5,reappraisal_only,5,138,138,22.9855072463768,76.8550724637681,52.8333333333333,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,176,0.00454605505322316,0.274863468989735,0.219418883757207,-4.90285130370381,4.90285130370381,2.4514256518519,0.586838119346059,0.413161880653941,0.981642262538363,176,0.0869947227377842,0.239389539006439,4.82107706560174,16.5469579449635,16.5469579449635,8.27347897248175,0.999999286074109,7.13925891071487e-07,0.0201736762872238,176,0.177784852424159,0.444600416555747,5.30494913583338,20.76019613028,20.76019613028,10.38009806514,0.999999943647791,5.63522089645511e-08,6.86473950305786e-05,176,0.182330907477382,0.500612901089075,4.83186275441099,16.6375487865921,16.6375487865921,8.31877439329605,0.999999323692548,6.76307451788802e-07,0.000226732995065771,176,0.269325630215167,0.497241401212658,7.18566120738359,39.658921569413,39.658921569413,19.8294607847065,0.999999999999666,3.34413531936882e-13,2.43358122804797e-09,176,0.00454605505322316,0.274863468989735,0.219418883757207,-4.90285130370381,4.90285130370381,2.4514256518519,0.586838119346059,0.413161880653941,0.981642262538363,176,0.0869947227377842,0.239389539006439,4.82107706560174,16.5469579449635,16.5469579449635,8.27347897248175,0.999999286074109,7.13925891071487e-07,0.0201736762872238,176,0.177784852424159,0.444600416555747,5.30494913583338,20.76019613028,20.76019613028,10.38009806514,0.999999943647791,5.63522089645511e-08,6.86473950305786e-05,176,0.182330907477382,0.500612901089075,4.83186275441099,16.6375487865921,16.6375487865921,8.31877439329605,0.999999323692548,6.76307451788802e-07,0.000226732995065771,176,0.269325630215167,0.497241401212658,7.18566120738359,39.658921569413,39.658921569413,19.8294607847065,0.999999999999666,3.34413531936882e-13,2.43358122804797e-09
6,reappraisal_only,6,133,133,55.0300751879699,79.2932330827068,49.4812030075188,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,176,0.0142227083330298,0.277123776070504,0.680871020338866,-4.49461663062191,4.49461663062191,2.24730831531096,0.752023446724318,0.247976553275682,0.955564926408785,176,0.0799054216027254,0.2230897448964,4.75174333619806,15.968339771567,15.968339771567,7.98416988578349,0.999998991648671,1.00835132860512e-06,0.0376700299746751,176,0.306414835135938,0.418400480432357,9.7156966674068,69.5516499616657,69.5516499616657,34.7758249808328,1,1.29237675606285e-22,2.14090292250518e-16,176,0.320637543468967,0.481619627852507,8.83215187993547,58.6921157737275,58.6921157737275,29.3460578868637,1,5.13404449574214e-19,4.49775136152633e-14,176,0.400542965071693,0.481943425104248,11.0257815200768,86.1892508552098,86.1892508552098,43.0946254276049,1,1.43507270855377e-28,2.47155501458943e-22,176,0.0142227083330298,0.277123776070504,0.680871020338866,-4.49461663062191,4.49461663062191,2.24730831531096,0.752023446724318,0.247976553275682,0.955564926408785,176,0.0799054216027254,0.2230897448964,4.75174333619806,15.968339771567,15.968339771567,7.98416988578349,0.999998991648671,1.00835132860512e-06,0.0376700299746751,176,0.306414835135938,0.418400480432357,9.7156966674068,69.5516499616657,69.5516499616657,34.7758249808328,1,1.29237675606285e-22,2.14090292250518e-16,176,0.320637543468967,0.481619627852507,8.83215187993547,58.6921157737275,58.6921157737275,29.3460578868637,1,5.13404449574214e-19,4.49775136152633e-14,176,0.400542965071693,0.481943425104248,11.0257815200768,86.1892508552098,86.1892508552098,43.0946254276049,1,1.43507270855377e-28,2.47155501458943e-22
7,reappraisal_only,7,165,165,24.969696969697,84.8121212121212,46.6242424242424,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,176,0.020586845562983,0.339149572024256,0.80529474876677,-4.31321518581699,4.31321518581699,2.15660759290849,0.789675194318783,0.210324805681217,0.872161953666248,176,0.117010331804747,0.301330058364199,5.15155201307249,19.3920709913762,19.3920709913762,9.69603549568811,0.999999870830224,1.29169776381071e-07,0.0015876952124091,176,0.26359179597675,0.604610444314648,5.78379082459797,25.2142257849214,25.2142257849214,12.6071128924607,0.999999996348213,3.65178752367257e-09,1.3883633822001e-06,176,0.284178641539733,0.64487297033747,5.8461989928154,25.8143369712893,25.8143369712893,12.9071684856447,0.999999997485338,2.51466183476533e-09,7.26525606809088e-07,176,0.40118897334448,0.659280880794596,8.0729979186282,49.6891680130409,49.6891680130409,24.8445840065204,1,3.42963885546275e-16,7.9237145034504e-13,176,0.020586845562983,0.339149572024256,0.80529474876677,-4.31321518581699,4.31321518581699,2.15660759290849,0.789675194318783,0.210324805681217,0.872161953666248,176,0.117010331804747,0.301330058364199,5.15155201307249,19.3920709913762,19.3920709913762,9.69603549568811,0.999999870830224,1.29169776381071e-07,0.0015876952124091,176,0.26359179597675,0.604610444314648,5.78379082459797,25.2142257849214,25.2142257849214,12.6071128924607,0.999999996348213,3.65178752367257e-09,1.3883633822001e-06,176,0.284178641539733,0.64487297033747,5.8461989928154,25.8143369712893,25.8143369712893,12.9071684856447,0.999999997485338,2.51466183476533e-09,7.26525606809088e-07,176,0.40118897334448,0.659280880794596,8.0729979186282,49.6891680130409,49.6891680130409,24.8445840065204,1,3.42963885546275e-16,7.9237145034504e-13
8,reappraisal_only,8,55,55,57.2181818181818,83.9636363636364,34.5090909090909,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,176,0.000410417707155664,0.411343373512053,0.0132366449016193,-4.9500499898927,4.9500499898927,2.47502499494635,0.505280503103058,0.494719496896942,0.893133956256271,176,0.126967952497899,0.389676416927632,4.32261271703699,12.5344364465332,12.5344364465332,6.2672182232666,0.999992290386895,7.70961310509499e-06,0.00439175659158441,176,0.23308135818375,0.605523166354386,5.1066149318522,18.9968973300942,18.9968973300942,9.49844866504708,0.999999836009423,1.63990577284041e-07,3.02106354657211e-05,176,0.233491775890906,0.637012758920227,4.86272591196789,16.8976312458887,16.8976312458887,8.44881562294434,0.99999942109941,5.78900589892151e-07,6.63408733036162e-05,176,0.360459728388805,0.652658199709308,7.32701847081097,41.2162154466962,41.2162154466962,20.6081077233481,0.999999999999882,1.17664700440588e-13,1.38910576168293e-10,176,0.000410417707155664,0.411343373512053,0.0132366449016193,-4.9500499898927,4.9500499898927,2.47502499494635,0.505280503103058,0.494719496896942,0.893133956256271,176,0.126967952497899,0.389676416927632,4.32261271703699,12.5344364465332,12.5344364465332,6.2672182232666,0.999992290386895,7.70961310509499e-06,0.00439175659158441,176,0.23308135818375,0.605523166354386,5.1066149318522,18.9968973300942,18.9968973300942,9.49844866504708,0.999999836009423,1.63990577284041e-07,3.02106354657211e-05,176,0.233491775890906,0.637012758920227,4.86272591196789,16.8976312458887,16.8976312458887,8.44881562294434,0.99999942109941,5.78900589892151e-07,6.63408733036162e-05,176,0.360459728388805,0.652658199709308,7.32701847081097,41.2162154466962,41.2162154466962,20.6081077233481,0.999999999999882,1.17664700440588e-13,1.38910576168293e-10
9,reappraisal_only,9,40,40,68.85,30.875,34.875,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,176,-0.0168828471911907,0.267340720736796,-0.83779335032485,-4.2608664548206,-4.2608664548206,-2.1304332274103,0.201073387024372,0.798926612975628,0.949398545270255,176,0.104639195518208,0.213706636178273,6.49580108703833,32.3096639180606,32.3096639180606,16.1548319590303,0.999999999958704,4.12963628288829e-11,0.000347052973256788,176,-0.03522787445657,0.404489289028177,-1.15540900491977,-3.64142366804837,-3.64142366804837,-1.82071183402419,0.123961488039716,0.876038511960284,0.68339143320353,176,-0.0521107216477607,0.419595050088897,-1.64760486305695,-2.29903299171647,-2.29903299171647,-1.14951649585823,0.0497168909313043,0.950283109068696,0.472773872390684,176,0.0525284738704468,0.428028602089191,1.62808969108991,-2.36100643108825,2.36100643108825,1.18050321554413,0.948247065441361,0.051752934558639,0.468025472778654,176,-0.0168828471911907,0.267340720736796,-0.83779335032485,-4.2608664548206,-4.2608664548206,-2.1304332274103,0.201073387024372,0.798926612975628,0.949398545270255,176,0.104639195518208,0.213706636178273,6.49580108703833,32.3096639180606,32.3096639180606,16.1548319590303,0.999999999958704,4.12963628288829e-11,0.000347052973256788,176,-0.03522787445657,0.404489289028177,-1.15540900491977,-3.64142366804837,-3.64142366804837,-1.82071183402419,0.123961488039716,0.876038511960284,0.68339143320353,176,-0.0521107216477607,0.419595050088897,-1.64760486305695,-2.29903299171647,-2.29903299171647,-1.14951649585823,0.0497168909313043,0.950283109068696,0.472773872390684,176,0.0525284738704468,0.428028602089191,1.62808969108991,-2.36100643108825,2.36100643108825,1.18050321554413,0.948247065441361,0.051752934558639,0.468025472778654
10,reappraisal_only,10,22,22,13,36.7272727272727,34.4090909090909,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii,176,-0.0152727479479665,0.210371397607109,-0.963134248044058,-4.03974505450579,-4.03974505450579,-2.01987252725289,0.167740078357008,0.832259921642992,0.985717885794192,176,0.0931340855290775,0.235247949184522,5.25217444765962,20.2861900796669,20.2861900796669,10.1430950398334,0.999999924843004,7.51569961019121e-08,0.00749770053909864,176,-0.0749254891387909,0.433678954925192,-2.29201562017307,0.144608687428843,-0.144608687428843,-0.0723043437144213,0.0109523709213918,0.989047629078608,0.222818792682269,176,-0.0901982370867574,0.424608902537593,-2.81815767291226,2.69593376682792,-2.69593376682792,-1.34796688341396,0.00241500423857675,0.997584995761423,0.104560131470785,176,0.00293584844232008,0.407666698038726,0.0955398885547436,-4.94124021084398,4.94124021084398,2.47062010542199,0.538056995669065,0.461943004330935,0.894713151929922,176,-0.0152727479479665,0.210371397607109,-0.963134248044058,-4.03974505450579,-4.03974505450579,-2.01987252725289,0.167740078357008,0.832259921642992,0.985717885794192,176,0.0931340855290775,0.235247949184522,5.25217444765962,20.2861900796669,20.2861900796669,10.1430950398334,0.999999924843004,7.51569961019121e-08,0.00749770053909864,176,-0.0749254891387909,0.433678954925192,-2.29201562017307,0.144608687428843,-0.144608687428843,-0.0723043437144213,0.0109523709213918,0.989047629078608,0.222818792682269,176,-0.0901982370867574,0.424608902537593,-2.81815767291226,2.69593376682792,-2.69593376682792,-1.34796688341396,0.00241500423857675,0.997584995761423,0.104560131470785,176,0.00293584844232008,0.407666698038726,0.0955398885547436,-4.94124021084398,4.94124021084398,2.47062010542199,0.538056995669065,0.461943004330935,0.894713151929922
