roi_id,source_system,component_id,n_voxels,n_voxels_assigned,centroid_i,centroid_j,centroid_k,map_source,source_path
1,reappraisal_only,1,530,530,14.0132075471698,30.8132075471698,55.6905660377359,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
2,reappraisal_only,2,627,627,65.3014354066986,31.5582137161085,54.7735247208932,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
3,reappraisal_only,3,58,58,49.0172413793103,64.4655172413793,60.4827586206897,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
4,reappraisal_only,4,157,157,55.859872611465,71.0127388535032,53.9808917197452,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
5,reappraisal_only,5,138,138,22.9855072463768,76.8550724637681,52.8333333333333,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
6,reappraisal_only,6,133,133,55.0300751879699,79.2932330827068,49.4812030075188,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
7,reappraisal_only,7,165,165,24.969696969697,84.8121212121212,46.6242424242424,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
8,reappraisal_only,8,55,55,57.2181818181818,83.9636363636364,34.5090909090909,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
9,reappraisal_only,9,40,40,68.85,30.875,34.875,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
10,reappraisal_only,10,22,22,13,36.7272727272727,34.4090909090909,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
11,reappraisal_only,11,70,70,58.8428571428571,80.2285714285714,29.8,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
12,reappraisal_only,12,50,50,36.84,17.26,25.02,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
13,reappraisal_only,13,70,70,25.6428571428571,22.3285714285714,23.4571428571429,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
14,reappraisal_only,14,141,141,66.7446808510638,54.4468085106383,18.3971631205674,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
15,reappraisal_only,15,41,41,61.5853658536585,22.7560975609756,21.9512195121951,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
16,reappraisal_only,16,108,108,13.5740740740741,56.3518518518519,17.787037037037,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
17,common_appraisal,1,6365,6353,47.496465043205,67.3857030636292,59.9674783974863,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
18,common_appraisal,2,1834,1834,18.5888767720829,65.6324972737187,57.3331515812432,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
19,common_appraisal,3,339,338,18.353982300885,30.1356932153392,62.2802359882006,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
20,common_appraisal,4,831,825,59.1756919374248,27.6546329723225,59.5631768953069,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
21,common_appraisal,5,469,469,40.6140724946695,25.7356076759062,56.6652452025586,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
22,common_appraisal,6,183,183,15.8196721311475,29.3606557377049,48.3551912568306,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
23,common_appraisal,7,89,89,31.9325842696629,87.1348314606742,46.3932584269663,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
24,common_appraisal,8,153,153,56.843137254902,82.8888888888889,42.3006535947712,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
25,common_appraisal,9,204,204,66.2254901960784,27.3480392156863,41.8970588235294,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
26,common_appraisal,10,953,953,16.5823714585519,67.6862539349423,34.1332633788038,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
27,common_appraisal,11,1028,1028,61.0972762645914,66.3793774319066,34.9571984435798,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
28,common_appraisal,12,22,22,10.9090909090909,33.1363636363636,36,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
29,common_appraisal,13,122,122,35.2049180327869,20.0491803278689,23.4426229508197,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
30,common_appraisal,14,452,449,56.320796460177,24.5088495575221,22.3517699115044,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
31,non_modifiable_emotion,1,963,962,25.8047767393562,57.2232606438214,64.0633437175493,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
32,non_modifiable_emotion,2,587,579,51.541737649063,56.8773424190801,64.1345826235094,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
33,non_modifiable_emotion,3,1523,1501,51.3611293499672,27.4221930400525,60.9921208141825,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
34,non_modifiable_emotion,4,1460,1456,24.1376712328767,29.563698630137,61.1356164383562,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
