dataset,route,tag,subject,seed,requested_max_subjects_per_study,selected_n_by_dataset,selection
PIP,B,PIP,1,20260608,,176,all_subjects
PIP,B,PIP,2,20260608,,176,all_subjects
PIP,B,PIP,3,20260608,,176,all_subjects
PIP,B,PIP,4,20260608,,176,all_subjects
PIP,B,PIP,5,20260608,,176,all_subjects
PIP,B,PIP,6,20260608,,176,all_subjects
PIP,B,PIP,7,20260608,,176,all_subjects
PIP,B,PIP,8,20260608,,176,all_subjects
PIP,B,PIP,9,20260608,,176,all_subjects
PIP,B,PIP,10,20260608,,176,all_subjects
PIP,B,PIP,11,20260608,,176,all_subjects
PIP,B,PIP,12,20260608,,176,all_subjects
PIP,B,PIP,13,20260608,,176,all_subjects
PIP,B,PIP,14,20260608,,176,all_subjects
PIP,B,PIP,15,20260608,,176,all_subjects
PIP,B,PIP,16,20260608,,176,all_subjects
PIP,B,PIP,17,20260608,,176,all_subjects
PIP,B,PIP,18,20260608,,176,all_subjects
PIP,B,PIP,19,20260608,,176,all_subjects
PIP,B,PIP,20,20260608,,176,all_subjects
PIP,B,PIP,21,20260608,,176,all_subjects
PIP,B,PIP,22,20260608,,176,all_subjects
PIP,B,PIP,23,20260608,,176,all_subjects
PIP,B,PIP,24,20260608,,176,all_subjects
PIP,B,PIP,25,20260608,,176,all_subjects
PIP,B,PIP,26,20260608,,176,all_subjects
PIP,B,PIP,27,20260608,,176,all_subjects
PIP,B,PIP,28,20260608,,176,all_subjects
PIP,B,PIP,29,20260608,,176,all_subjects
PIP,B,PIP,30,20260608,,176,all_subjects
PIP,B,PIP,31,20260608,,176,all_subjects
PIP,B,PIP,32,20260608,,176,all_subjects
PIP,B,PIP,33,20260608,,176,all_subjects
PIP,B,PIP,34,20260608,,176,all_subjects
PIP,B,PIP,35,20260608,,176,all_subjects
PIP,B,PIP,36,20260608,,176,all_subjects
PIP,B,PIP,37,20260608,,176,all_subjects
PIP,B,PIP,38,20260608,,176,all_subjects
PIP,B,PIP,39,20260608,,176,all_subjects
PIP,B,PIP,40,20260608,,176,all_subjects
PIP,B,PIP,41,20260608,,176,all_subjects
PIP,B,PIP,42,20260608,,176,all_subjects
PIP,B,PIP,43,20260608,,176,all_subjects
PIP,B,PIP,44,20260608,,176,all_subjects
PIP,B,PIP,45,20260608,,176,all_subjects
PIP,B,PIP,46,20260608,,176,all_subjects
PIP,B,PIP,47,20260608,,176,all_subjects
PIP,B,PIP,48,20260608,,176,all_subjects
PIP,B,PIP,49,20260608,,176,all_subjects
PIP,B,PIP,50,20260608,,176,all_subjects
PIP,B,PIP,51,20260608,,176,all_subjects
PIP,B,PIP,52,20260608,,176,all_subjects
PIP,B,PIP,53,20260608,,176,all_subjects
PIP,B,PIP,54,20260608,,176,all_subjects
PIP,B,PIP,55,20260608,,176,all_subjects
PIP,B,PIP,56,20260608,,176,all_subjects
PIP,B,PIP,57,20260608,,176,all_subjects
PIP,B,PIP,58,20260608,,176,all_subjects
PIP,B,PIP,59,20260608,,176,all_subjects
PIP,B,PIP,60,20260608,,176,all_subjects
PIP,B,PIP,61,20260608,,176,all_subjects
PIP,B,PIP,62,20260608,,176,all_subjects
PIP,B,PIP,63,20260608,,176,all_subjects
PIP,B,PIP,64,20260608,,176,all_subjects
PIP,B,PIP,65,20260608,,176,all_subjects
PIP,B,PIP,66,20260608,,176,all_subjects
PIP,B,PIP,67,20260608,,176,all_subjects
PIP,B,PIP,68,20260608,,176,all_subjects
PIP,B,PIP,69,20260608,,176,all_subjects
PIP,B,PIP,70,20260608,,176,all_subjects
PIP,B,PIP,71,20260608,,176,all_subjects
PIP,B,PIP,72,20260608,,176,all_subjects
PIP,B,PIP,73,20260608,,176,all_subjects
PIP,B,PIP,74,20260608,,176,all_subjects
